group,rate
Female,1.3
Female,1.6
Female,1.4
Female,1.1
Female,1.6
Female,1.8
Female,1.3
Female,1.7
Female,1.5
Female,1.8
Intact male,1.3
Intact male,1.2
Intact male,1
Intact male,0.9
Intact male,1.4
Intact male,1
Intact male,1.3
Intact male,1.4
Intact male,1.1
Intact male,1
No minor,1.2
No minor,1
No minor,0.9
No minor,0.8
No minor,1.2
No minor,0.9
No minor,1.1
No minor,1.1
No minor,1.3
No minor,1.3
No major,1.2
No major,1.7
No major,1.4
No major,1.2
No major,1.21
No major,1.6
No major,1.9
No major,1.4
No major,1.4
No major,1.4
